name,latitude,longitude,neighbors
LIDL BEŽIGRAD,46.063797,14.506854,"['DUNAJSKA C.-PS PETROL', 'PARK NAVJE-ŽELEZNA CESTA']"
ŠMARTINSKI PARK,46.065206,14.529911,"['SAVSKO NASELJE 1-ŠMARTINSKA CESTA', 'IKEA']"
SAVSKO NASELJE 1-ŠMARTINSKA CESTA,46.062475,14.524321,"['SITULA', 'ŠMARTINSKI PARK']"
ČRNUČE,46.102446,14.530213,"['BRATOVŠEVA PLOŠČAD', 'BS4-STOŽICE']"
VILHARJEVA CESTA,46.06005,14.51302,"['MASARYKOVA DDC', 'TRG OF-KOLODVORSKA UL.']"
MASARYKOVA DDC,46.05763,14.514264,"['VILHARJEVA CESTA', 'TRG OF-KOLODVORSKA UL.']"
POGAČARJEV TRG-TRŽNICA,46.051093,14.507186,"['PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE', 'KONGRESNI TRG-ŠUBIČEVA ULICA']"
CANKARJEVA UL.-NAMA,46.052431,14.503257,"['KONGRESNI TRG-ŠUBIČEVA ULICA', 'PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE']"
ANTONOV TRG,46.041753,14.477016,"['BONIFACIJA', 'GERBIČEVA - ŠPORTNI PARK SVOBODA']"
PRUŠNIKOVA,46.090608,14.471637,"['MERCATOR CENTER ŠIŠKA', 'DRAVLJE']"
TEHNOLOŠKI PARK,46.04843,14.461086,"['SOSESKA NOVO BRDO', 'VIŠKO POLJE']"
KOSEŠKI BAJER,46.068443,14.470913,"['TRŽNICA KOSEZE', 'MERCATOR MARKET - CELOVŠKA C. 163']"
TIVOLI,46.05952,14.4982,"['STARA CERKEV', 'BAVARSKI DVOR']"
TRŽNICA MOSTE,46.055801,14.534156,"['ZALOŠKA C.-GRABLOVIČEVA C.', 'HOFER-KAJUHOVA']"
GRUDNOVO NABREŽJE-KARLOVŠKA C.,46.045748,14.506196,"['BREG', 'PARKIRIŠČE NUK 2-FF']"
