,0
LIDL BEŽIGRAD,5.531062919975565
ŠMARTINSKI PARK,7.510354306658522
SAVSKO NASELJE 1-ŠMARTINSKA CESTA,7.183903481979231
ČRNUČE,8.608949297495418
VILHARJEVA CESTA,7.553970678069639
MASARYKOVA DDC,6.437171655467318
POGAČARJEV TRG-TRŽNICA,6.865607819181429
CANKARJEVA UL.-NAMA,7.927672571777642
ANTONOV TRG,9.716127061698229
PRUŠNIKOVA,7.9798717165546735
TEHNOLOŠKI PARK,6.308582773365913
KOSEŠKI BAJER,7.384300549786194
TIVOLI,5.552076970067196
TRŽNICA MOSTE,11.688087965791082
GRUDNOVO NABREŽJE-KARLOVŠKA C.,5.117776420281002
LIDL-LITIJSKA CESTA,10.236102626756262
ŠPORTNI CENTER STOŽICE,11.18069639584606
ŠPICA,8.611453879047037
ROŠKA - STRELIŠKA,5.193738546120953
BAVARSKI DVOR,5.4258094074526575
STARA CERKEV,5.24282223579719
SITULA,7.695693341478314
ILIRSKA ULICA,4.82501527183873
LIDL - RUDNIK,8.688882101405008
KOPALIŠČE KOLEZIJA,5.909682345754429
POVŠETOVA - KAJUHOVA,10.528039095907147
DUNAJSKA C.-PS MERCATOR,6.692608430054978
CITYPARK,8.009987782529016
KOPRSKA ULICA,3.500885766646304
LIDL - VOJKOVA CESTA,9.732254123396457
POLJANSKA-POTOČNIKOVA,7.686408063530849
POVŠETOVA-GRABLOVIČEVA,9.394960293219304
PARK NAVJE-ŽELEZNA CESTA,5.218967623701894
ZALOG,7.991325595601711
CESTA NA ROŽNIK,5.952107513744655
HOFER-KAJUHOVA,10.279260843005497
DUNAJSKA C.-PS PETROL,4.357544288332315
STUDENEC,9.920494807574832
PARKIRIŠČE NUK 2-FF,4.577122785583384
BRATOVŠEVA PLOŠČAD,10.277214416615761
KONGRESNI TRG-ŠUBIČEVA ULICA,6.180788026878436
BS4-STOŽICE,10.675595601710446
GERBIČEVA - ŠPORTNI PARK SVOBODA,10.49010384850336
ŽIVALSKI VRT,4.791844838118509
VOKA - SLOVENČEVA,6.051435552840562
BTC CITY/DVORANA A,7.286621869273061
TRNOVO,8.056627978008553
P+R BARJE,10.593555284056201
ROŽNA DOLINA-ŠKRABČEVA UL.,7.104489920586438
KINO ŠIŠKA,11.509590714722053
BRODARJEV TRG,11.33564447159438
ZALOŠKA C.-GRABLOVIČEVA C.,8.711606597434331
DOLENJSKA C. - STRELIŠČE,8.719639584605986
ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA,10.22819181429444
SOSESKA NOVO BRDO,8.682620647525962
TRŽNICA KOSEZE,9.353237629810629
ALEJA - CELOVŠKA CESTA,8.485491753207086
MERCATOR CENTER ŠIŠKA,9.215455100794136
GH ŠENTPETER-NJEGOŠEVA C.,5.782956627978009
HOFER - POLJE,9.127092241905926
VIŠKO POLJE,8.685949908368968
BONIFACIJA,7.8187843616371415
P + R DOLGI MOST,10.166218692730604
DRAVLJE,5.399144777031155
POLJE,8.554245571166769
SUPERNOVA LJUBLJANA - RUDNIK,7.420006108735492
SREDNJA FRIZERSKA ŠOLA,7.14383017715333
TRG OF-KOLODVORSKA UL.,10.601343921808185
TRG MDB,5.378283445326818
TRŽAŠKA C.-ILIRIJA,8.144593769089798
PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE,6.963439218081857
MERCATOR MARKET - CELOVŠKA C. 163,8.101557727550396
SAVSKO NASELJE 2-LINHARTOVA CESTA,7.624465485644472
BREG,6.305131337813073
BTC CITY ATLANTIS,7.4944410507025045
IKEA,5.89431887599267
MIKLOŠIČEV PARK,4.566065974343311
BARJANSKA C.-CENTER STAREJŠIH TRNOVO,8.98714111178986
LEK - VEROVŠKOVA,4.921991447770312
AMBROŽEV TRG,6.072480146609652
VOJKOVA - GASILSKA BRIGADA,6.236285888821014
RAKOVNIK,10.592150274893097
PREGLOV TRG,11.42846670739157
PLEČNIKOV STADION,5.96634086744044
